0.0, 24.0, stopped, no error
1.0391347408294678, 24.0, stopped, no error
2.0908405780792236, 24.0, stopped, no error
3.14475417137146, 24.0, stopped, no error
4.200652360916138, 24.0, stopped, no error
5.246500492095947, 24.0, stopped, no error
6.2804648876190186, 24.0, stopped, no error
7.317894697189331, 24.0, stopped, no error
8.35936951637268, 24.0, stopped, no error
9.420021295547485, 24.0, stopped, no error
10.475217819213867, 24.0, stopped, no error
11.522984504699707, 24.0, stopped, no error
12.568000793457031, 24.0, stopped, no error
13.617058515548706, 24.0, stopped, no error
0.0, 24.0, stopped, no error
1.0523386001586914, 24.0, stopped, no error
2.111743688583374, 24.0, stopped, no error
3.1715943813323975, 24.0, stopped, no error
4.24261474609375, 24.0, stopped, no error
5.295784950256348, 24.0, stopped, no error
0.0, 24.0, stopped, no error
1.052358865737915, 24.0, stopped, no error
2.0991320610046387, 24.0, stopped, no error
3.1525990962982178, 24.0, stopped, no error
4.205556392669678, 24.0, stopped, no error
5.256057977676392, 24.0, stopped, no error
6.309067964553833, 24.0, stopped, no error
7.360007047653198, 24.0, stopped, no error
8.419426679611206, 24.0, stopped, no error
9.467991828918457, 24.0, stopped, no error
10.508960962295532, 24.0, stopped, no error
11.56557035446167, 24.0, stopped, no error
0.0, 24.0, stopped, no error
1.0555009841918945, 24.0, stopped, no error
2.1055402755737305, 24.0, stopped, no error
3.1599340438842773, 24.0, stopped, no error
4.210393190383911, 24.0, stopped, no error
5.335468769073486, 24.0, stopped, no error
6.393435478210449, 24.0, stopped, no error
7.429736375808716, 24.0, stopped, no error
8.563849449157715, 24.0, stopped, no error
9.605851888656616, 24.0, stopped, no error
10.662482261657715, 24.0, stopped, no error
11.739554166793823, 24.0, stopped, no error
12.784593105316162, 24.0, stopped, no error
13.820870399475098, 24.0, heating, no error
14.871819496154785, 24.0, heating, no error
15.927615404129028, 24.0, heating, no error
16.981658935546875, 24.0, heating, no error
18.05192732810974, 24.0, heating, no error
19.10552430152893, 24.0, heating, no error
20.148260354995728, 24.0, heating, no error
21.19719123840332, 24.0, heating, no error
22.232985973358154, 24.0, heating, no error
23.288466453552246, 24.0, heating, no error
24.321563959121704, 25.0, heating, no error
25.366997718811035, 24.0, heating, no error
26.40441584587097, 24.0, heating, no error
27.455638647079468, 24.0, heating, no error
28.49539041519165, 25.0, heating, no error
29.548444271087646, 25.0, heating, no error
30.588282346725464, 25.0, heating, no error
31.63354253768921, 26.0, heating, no error
32.68093490600586, 26.0, heating, no error
33.72008800506592, 27.0, heating, no error
34.765650272369385, 27.0, heating, no error
35.825947761535645, 27.0, heating, no error
36.91039681434631, 27.0, heating, no error
37.964444637298584, 28.0, heating, no error
39.05100655555725, 28.0, heating, no error
40.10379099845886, 29.0, heating, no error
41.18255829811096, 29.0, heating, no error
42.251885175704956, 29.0, heating, no error
43.32122492790222, 30.0, heating, no error
44.38715481758118, 30.0, heating, no error
45.446754932403564, 30.0, heating, no error
46.498051166534424, 30.0, heating, no error
47.57248520851135, 30.0, heating, no error
48.62104654312134, 30.0, heating, no error
49.664191484451294, 31.0, heating, no error
50.71550893783569, 31.0, heating, no error
51.80421328544617, 31.0, heating, no error
52.858510971069336, 31.0, heating, no error
53.93327331542969, 31.0, heating, no error
54.9870069026947, 31.0, heating, no error
56.052085638046265, 32.0, heating, no error
57.09475874900818, 32.0, heating, no error
58.14979362487793, 32.0, heating, no error
59.202871799468994, 32.0, heating, no error
60.25381326675415, 32.0, heating, no error
61.35937762260437, 32.0, heating, no error
62.401482820510864, 32.0, heating, no error
63.435532093048096, 32.0, stopped, no error
64.48636770248413, 32.0, stopped, no error
65.5297679901123, 32.0, stopped, no error
66.58154559135437, 32.0, stopped, no error
67.62012147903442, 32.0, stopped, no error
68.66936612129211, 31.0, stopped, no error
69.70736002922058, 31.0, stopped, no error
70.76086783409119, 31.0, stopped, no error
71.81817555427551, 31.0, stopped, no error
72.86928820610046, 31.0, stopped, no error
73.96919918060303, 31.0, stopped, no error
75.01920557022095, 30.0, stopped, no error
76.06915521621704, 30.0, stopped, no error
77.11902952194214, 30.0, stopped, no error
78.16908311843872, 30.0, stopped, no error
79.21901297569275, 30.0, stopped, no error
80.26895570755005, 30.0, stopped, no error
81.31879472732544, 30.0, stopped, no error
82.36887693405151, 30.0, stopped, no error
83.41863751411438, 30.0, stopped, no error
